sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
missing_5,0.95,30,Causal-parents,Logistic,high_vpd,2146,0.05312208760484623
missing_5,0.95,30,Causal-parents,Logistic,high_par,2158,0.037998146431881374
