roc_auc,roc_auc_mean,roc_auc_std,roc_auc_mean_std,pr_auc,pr_auc_mean,pr_auc_std,pr_auc_mean_std,f1,f1_mean,f1_std,f1_mean_std,brier,brier_mean,brier_std,brier_mean_std,precision,precision_mean,precision_std,precision_mean_std,recall,recall_mean,recall_std,recall_mean_std,top10_alert_precision,top10_alert_precision_mean,top10_alert_precision_std,top10_alert_precision_mean_std,sensor_scenario,event_q,deltaT_threshold,model,model_key,algorithm,algorithm_key,horizon_min,n_folds,n_samples,positive_rate
0.9483406724644066,0.9483406724644066,0.049077636857241175,0.948 ± 0.049,0.6906564457296372,0.6906564457296372,0.1954447712335315,0.691 ± 0.195,0.5180318676658303,0.5180318676658303,0.3252706289885874,0.518 ± 0.325,0.04863627756076351,0.04863627756076351,0.02459953627215629,0.049 ± 0.025,0.5683007435875451,0.5683007435875451,0.34994944223533303,0.568 ± 0.350,0.47635233045554237,0.47635233045554237,0.30448778839002966,0.476 ± 0.304,0.3104651162790698,0.3104651162790698,0.312350559184079,0.310 ± 0.312,missing_5,0.95,4.259999999999999,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10,5,11445,0.05006553079947575
0.9599623313100489,0.9599623313100489,0.03138302905215636,0.960 ± 0.031,0.6982199637666122,0.6982199637666122,0.18493718268350845,0.698 ± 0.185,0.5315048734472475,0.5315048734472475,0.3250139536761065,0.532 ± 0.325,0.018802108996706042,0.018802108996706042,0.01122152883449696,0.019 ± 0.011,0.5121735791090629,0.5121735791090629,0.31536799993764975,0.512 ± 0.315,0.5546456430613775,0.5546456430613775,0.3388122583329343,0.555 ± 0.339,0.3174418604651163,0.3174418604651163,0.31302619301293105,0.317 ± 0.313,missing_5,0.95,4.259999999999999,DT-proxy base,DT_PROXY_BASE,RF,rf,10,5,11445,0.05006553079947575
0.9550711106007956,0.9550711106007956,0.041174086324634054,0.955 ± 0.041,0.6979518492416514,0.6979518492416514,0.19388505710062268,0.698 ± 0.194,0.5303060682008051,0.5303060682008051,0.3374272033898159,0.530 ± 0.337,0.014566955215133792,0.014566955215133792,0.01017113422344276,0.015 ± 0.010,0.5908694515059263,0.5908694515059263,0.3589294568061498,0.591 ± 0.359,0.48356799822335733,0.48356799822335733,0.32149859804675607,0.484 ± 0.321,0.31511627906976747,0.31511627906976747,0.31342548192575126,0.315 ± 0.313,missing_5,0.95,4.259999999999999,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10,5,11445,0.05006553079947575
0.9572280514903118,0.9572280514903118,0.04571464137857917,0.957 ± 0.046,0.7219615626035094,0.7219615626035094,0.1753038266885543,0.722 ± 0.175,0.4711326945213923,0.4711326945213923,0.2984114062816243,0.471 ± 0.298,0.0286369586077014,0.0286369586077014,0.02058817833634821,0.029 ± 0.021,0.6582061068702291,0.6582061068702291,0.40644272858532904,0.658 ± 0.406,0.3991397162923688,0.3991397162923688,0.2852339224205581,0.399 ± 0.285,0.3116279069767442,0.3116279069767442,0.30401473555986364,0.312 ± 0.304,missing_5,0.95,4.259999999999999,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10,5,11442,0.05007865757734662
0.9599570758879056,0.9599570758879056,0.026158572100289938,0.960 ± 0.026,0.7065834154532636,0.7065834154532636,0.1600362775063505,0.707 ± 0.160,0.4763220705361092,0.4763220705361092,0.33605013866731775,0.476 ± 0.336,0.01703141629365723,0.01703141629365723,0.011924151659954429,0.017 ± 0.012,0.61212788034922,0.61212788034922,0.3633060917760225,0.612 ± 0.363,0.4231080143241817,0.4231080143241817,0.3339200381164959,0.423 ± 0.334,0.3174418604651163,0.3174418604651163,0.31302619301293105,0.317 ± 0.313,missing_5,0.95,4.259999999999999,Causal-parents,CAUSAL_PARENTS,RF,rf,10,5,11442,0.05007865757734662
0.9642522499657181,0.9642522499657181,0.038959077641725536,0.964 ± 0.039,0.7107024383070851,0.7107024383070851,0.21900440426365939,0.711 ± 0.219,0.5086619738688813,0.5086619738688813,0.3417433050318854,0.509 ± 0.342,0.014097562454100201,0.014097562454100201,0.010319864640364768,0.014 ± 0.010,0.5978428445435421,0.5978428445435421,0.35677790733563713,0.598 ± 0.357,0.4555830996863115,0.4555830996863115,0.3360971360704965,0.456 ± 0.336,0.31279069767441864,0.31279069767441864,0.308205346197229,0.313 ± 0.308,missing_5,0.95,4.259999999999999,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10,5,11442,0.05007865757734662
0.9066360543349931,0.9066360543349931,0.11033202167111454,0.907 ± 0.110,0.5736885929228812,0.5736885929228812,0.23699907199460146,0.574 ± 0.237,0.3938749274929788,0.3938749274929788,0.28610908926821205,0.394 ± 0.286,0.03764898440985216,0.03764898440985216,0.0353801177801423,0.038 ± 0.035,0.6276261373035567,0.6276261373035567,0.3961284567968824,0.628 ± 0.396,0.3112819587485773,0.3112819587485773,0.24483183095734817,0.311 ± 0.245,0.20930232558139536,0.20930232558139536,0.12624448110818873,0.209 ± 0.126,missing_5,0.95,4.259999999999999,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,10,5,11442,0.05007865757734662
0.9644407960145386,0.9644407960145386,0.021392206435389124,0.964 ± 0.021,0.6355933975955383,0.6355933975955383,0.13158729230564506,0.636 ± 0.132,0.17799736495388668,0.17799736495388668,0.19073472817005824,0.178 ± 0.191,0.020449769401915473,0.020449769401915473,0.016320132200293817,0.020 ± 0.016,0.6040598290598291,0.6040598290598291,0.35438663870475395,0.604 ± 0.354,0.11965605307720066,0.11965605307720066,0.15116341015814735,0.120 ± 0.151,0.31511627906976747,0.31511627906976747,0.31856008854880896,0.315 ± 0.319,missing_5,0.95,4.259999999999999,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,10,5,11442,0.05007865757734662
0.9631536386841614,0.9631536386841614,0.02577504813507906,0.963 ± 0.026,0.6196628327263737,0.6196628327263737,0.1552656125500884,0.620 ± 0.155,0.320062785917462,0.320062785917462,0.29255064879977166,0.320 ± 0.293,0.025567075097320834,0.025567075097320834,0.027338920220249616,0.026 ± 0.027,0.6168118466898955,0.6168118466898955,0.3546527130082042,0.617 ± 0.355,0.24661910446103877,0.24661910446103877,0.25878043866995304,0.247 ± 0.259,0.2988372093023256,0.2988372093023256,0.2818598415067167,0.299 ± 0.282,missing_5,0.95,4.259999999999999,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,10,5,11442,0.05007865757734662
0.8842830939466937,0.8842830939466937,0.07632199839043494,0.884 ± 0.076,0.4877688688618609,0.4877688688618609,0.2654272275049416,0.488 ± 0.265,0.3895590856392908,0.3895590856392908,0.2967349736599989,0.390 ± 0.297,0.06829360210747384,0.06829360210747384,0.03163813565425032,0.068 ± 0.032,0.3904087728281277,0.3904087728281277,0.289719716433354,0.390 ± 0.290,0.3893334813868917,0.3893334813868917,0.30398841782290215,0.389 ± 0.304,0.26744186046511625,0.26744186046511625,0.2938204364765878,0.267 ± 0.294,missing_5,0.95,4.259999999999999,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,30,5,11443,0.0500742812199598
0.9038806677509974,0.9038806677509974,0.04120048049119317,0.904 ± 0.041,0.4649268636338347,0.4649268636338347,0.2111240909164045,0.465 ± 0.211,0.3666830103651044,0.3666830103651044,0.2509008654861361,0.367 ± 0.251,0.030231194891645864,0.030231194891645864,0.01546557160627744,0.030 ± 0.015,0.35573647959916155,0.35573647959916155,0.27918324107422576,0.356 ± 0.279,0.39341281958748575,0.39341281958748575,0.24835942103724068,0.393 ± 0.248,0.2697674418604651,0.2697674418604651,0.27665500810577315,0.270 ± 0.277,missing_5,0.95,4.259999999999999,DT-proxy base,DT_PROXY_BASE,RF,rf,30,5,11443,0.0500742812199598
0.9052845362878734,0.9052845362878734,0.03628721119243438,0.905 ± 0.036,0.46188681417620403,0.46188681417620403,0.19533415338731328,0.462 ± 0.195,0.36784562501025836,0.36784562501025836,0.2563952506846975,0.368 ± 0.256,0.02373169381648759,0.02373169381648759,0.017805567594946215,0.024 ± 0.018,0.39629919888540577,0.39629919888540577,0.2859199884136905,0.396 ± 0.286,0.3515870416123032,0.3515870416123032,0.2446961618439741,0.352 ± 0.245,0.2441860465116279,0.2441860465116279,0.2235538829038416,0.244 ± 0.224,missing_5,0.95,4.259999999999999,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,30,5,11443,0.0500742812199598
0.9117891897547324,0.9117891897547324,0.055425409138267934,0.912 ± 0.055,0.5028456653264533,0.5028456653264533,0.2321561308413795,0.503 ± 0.232,0.3956007666224385,0.3956007666224385,0.26486411476656263,0.396 ± 0.265,0.04226822402469166,0.04226822402469166,0.02620175281900585,0.042 ± 0.026,0.534766948141787,0.534766948141787,0.369022170069367,0.535 ± 0.369,0.3363720400855009,0.3363720400855009,0.24452990748978348,0.336 ± 0.245,0.2697674418604651,0.2697674418604651,0.2761046450415509,0.270 ± 0.276,missing_5,0.95,4.259999999999999,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,30,5,11440,0.05008741258741259
0.9133744568368118,0.9133744568368118,0.02890061527646584,0.913 ± 0.029,0.4390150193414847,0.4390150193414847,0.1974566499413054,0.439 ± 0.197,0.19839710850946807,0.19839710850946807,0.23089117444155569,0.198 ± 0.231,0.024188190695486975,0.024188190695486975,0.015976310843207282,0.024 ± 0.016,0.5043589743589744,0.5043589743589744,0.3553151410243548,0.504 ± 0.355,0.1735263581600644,0.1735263581600644,0.2302707951387835,0.174 ± 0.230,0.2744186046511628,0.2744186046511628,0.2962949504706731,0.274 ± 0.296,missing_5,0.95,4.259999999999999,Causal-parents,CAUSAL_PARENTS,RF,rf,30,5,11440,0.05008741258741259
