sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
missing_5,0.95,120,DT-proxy base,XGBoost,high_vpd,2147,0.06334420121099209
missing_5,0.95,120,DT-proxy base,XGBoost,high_par,2149,0.05304792926942764
