sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
missing_5,0.95,10,Causal+Lagged Controls,RF,high_vpd,2145,0.04895104895104895
missing_5,0.95,10,Causal+Lagged Controls,RF,high_par,2159,0.035664659564613246
